id,z_min,z_max
001481_1875-ORI_35.tif,-3340.663086,-3020.219727
001481_1875-ORI_35_v_flip.tif,-3340.663086,-3020.219727
001481_1875-ORI_35_h_flip.tif,-3340.663086,-3020.219727
001481_1875-ORI_35_hv_flip.tif,-3340.663086,-3020.219727
001481_1875-ORI_36.tif,-3220.792480,-2925.252197
001481_1875-ORI_36_v_flip.tif,-3220.792480,-2925.252197
001481_1875-ORI_36_h_flip.tif,-3220.792480,-2925.252197
001481_1875-ORI_36_hv_flip.tif,-3220.792480,-2925.252197
001481_1875-ORI_37.tif,-3404.776367,-3363.130859
001481_1875-ORI_37_v_flip.tif,-3404.776367,-3363.130859
001481_1875-ORI_37_h_flip.tif,-3404.776367,-3363.130859
001481_1875-ORI_37_hv_flip.tif,-3404.776367,-3363.130859
001481_1875-ORI_38.tif,-3358.946045,-3261.641113
001481_1875-ORI_38_v_flip.tif,-3358.946045,-3261.641113
001481_1875-ORI_38_h_flip.tif,-3358.946045,-3261.641113
001481_1875-ORI_38_hv_flip.tif,-3358.946045,-3261.641113
001481_1875-ORI_39.tif,-3381.510742,-3261.641113
001481_1875-ORI_39_v_flip.tif,-3381.510742,-3261.641113
001481_1875-ORI_39_h_flip.tif,-3381.510742,-3261.641113
001481_1875-ORI_39_hv_flip.tif,-3381.510742,-3261.641113
001481_1875-ORI_4.tif,-3621.135986,-3587.197998
001481_1875-ORI_4_v_flip.tif,-3621.135986,-3587.197998
001481_1875-ORI_4_h_flip.tif,-3621.135986,-3587.197998
001481_1875-ORI_4_hv_flip.tif,-3621.135986,-3587.197998
001481_1875-ORI_40.tif,-3387.693604,-3324.367188
001481_1875-ORI_40_v_flip.tif,-3387.693604,-3324.367188
001481_1875-ORI_40_h_flip.tif,-3387.693604,-3324.367188
001481_1875-ORI_40_hv_flip.tif,-3387.693604,-3324.367188
001481_1875-ORI_41.tif,-3400.662598,-3214.955322
001481_1875-ORI_41_v_flip.tif,-3400.662598,-3214.955322
001481_1875-ORI_41_h_flip.tif,-3400.662598,-3214.955322
001481_1875-ORI_41_hv_flip.tif,-3400.662598,-3214.955322
001481_1875-ORI_42.tif,-3349.591309,-2925.504150
001481_1875-ORI_42_v_flip.tif,-3349.591309,-2925.504150
001481_1875-ORI_42_h_flip.tif,-3349.591309,-2925.504150
001481_1875-ORI_42_hv_flip.tif,-3349.591309,-2925.504150
001481_1875-ORI_43.tif,-3174.125488,-2815.218506
001481_1875-ORI_43_v_flip.tif,-3174.125488,-2815.218506
001481_1875-ORI_43_h_flip.tif,-3174.125488,-2815.218506
001481_1875-ORI_43_hv_flip.tif,-3174.125488,-2815.218506
001481_1875-ORI_112.tif,-3579.271484,-3323.804199
001481_1875-ORI_112_v_flip.tif,-3579.271484,-3323.804199
001481_1875-ORI_112_h_flip.tif,-3579.271484,-3323.804199
001481_1875-ORI_112_hv_flip.tif,-3579.271484,-3323.804199
001481_1875-ORI_113.tif,-3664.005859,-3547.153076
001481_1875-ORI_113_v_flip.tif,-3664.005859,-3547.153076
001481_1875-ORI_113_h_flip.tif,-3664.005859,-3547.153076
001481_1875-ORI_113_hv_flip.tif,-3664.005859,-3547.153076
001481_1875-ORI_114.tif,-3700.003906,-3615.387695
001481_1875-ORI_114_v_flip.tif,-3700.003906,-3615.387695
001481_1875-ORI_114_h_flip.tif,-3700.003906,-3615.387695
001481_1875-ORI_114_hv_flip.tif,-3700.003906,-3615.387695
001481_1875-ORI_115.tif,-3610.841064,-3526.659912
001481_1875-ORI_115_v_flip.tif,-3610.841064,-3526.659912
001481_1875-ORI_115_h_flip.tif,-3610.841064,-3526.659912
001481_1875-ORI_115_hv_flip.tif,-3610.841064,-3526.659912
001481_1875-ORI_116.tif,-3472.488281,-3407.352051
001481_1875-ORI_116_v_flip.tif,-3472.488281,-3407.352051
001481_1875-ORI_116_h_flip.tif,-3472.488281,-3407.352051
001481_1875-ORI_116_hv_flip.tif,-3472.488281,-3407.352051
001481_1875-ORI_117.tif,-3604.964844,-3417.523926
001481_1875-ORI_117_v_flip.tif,-3604.964844,-3417.523926
001481_1875-ORI_117_h_flip.tif,-3604.964844,-3417.523926
001481_1875-ORI_117_hv_flip.tif,-3604.964844,-3417.523926
001481_1875-ORI_118.tif,-3813.568359,-3670.279297
001481_1875-ORI_118_v_flip.tif,-3813.568359,-3670.279297
001481_1875-ORI_118_h_flip.tif,-3813.568359,-3670.279297
001481_1875-ORI_118_hv_flip.tif,-3813.568359,-3670.279297
001481_1875-ORI_119.tif,-3602.455078,-3409.880371
001481_1875-ORI_119_v_flip.tif,-3602.455078,-3409.880371
001481_1875-ORI_119_h_flip.tif,-3602.455078,-3409.880371
001481_1875-ORI_119_hv_flip.tif,-3602.455078,-3409.880371
001481_1875-ORI_12.tif,-3562.864502,-3432.984863
001481_1875-ORI_12_v_flip.tif,-3562.864502,-3432.984863
001481_1875-ORI_12_h_flip.tif,-3562.864502,-3432.984863
001481_1875-ORI_12_hv_flip.tif,-3562.864502,-3432.984863
001481_1875-ORI_120.tif,-3625.376221,-3582.784668
001481_1875-ORI_120_v_flip.tif,-3625.376221,-3582.784668
001481_1875-ORI_120_h_flip.tif,-3625.376221,-3582.784668
001481_1875-ORI_120_hv_flip.tif,-3625.376221,-3582.784668
001481_1875-ORI_14.tif,-3607.567139,-3551.674805
001481_1875-ORI_14_v_flip.tif,-3607.567139,-3551.674805
001481_1875-ORI_14_h_flip.tif,-3607.567139,-3551.674805
001481_1875-ORI_14_hv_flip.tif,-3607.567139,-3551.674805
001481_1875-ORI_140.tif,-4035.137451,-3886.447998
001481_1875-ORI_140_v_flip.tif,-4035.137451,-3886.447998
001481_1875-ORI_140_h_flip.tif,-4035.137451,-3886.447998
001481_1875-ORI_140_hv_flip.tif,-4035.137451,-3886.447998
001481_1875-ORI_141.tif,-3614.539551,-3400.028564
001481_1875-ORI_141_v_flip.tif,-3614.539551,-3400.028564
001481_1875-ORI_141_h_flip.tif,-3614.539551,-3400.028564
001481_1875-ORI_141_hv_flip.tif,-3614.539551,-3400.028564
001481_1875-ORI_142.tif,-3724.510010,-3537.619141
001481_1875-ORI_142_v_flip.tif,-3724.510010,-3537.619141
001481_1875-ORI_142_h_flip.tif,-3724.510010,-3537.619141
001481_1875-ORI_142_hv_flip.tif,-3724.510010,-3537.619141
001481_1875-ORI_143.tif,-3771.202637,-3617.356934
001481_1875-ORI_143_v_flip.tif,-3771.202637,-3617.356934
001481_1875-ORI_143_h_flip.tif,-3771.202637,-3617.356934
001481_1875-ORI_143_hv_flip.tif,-3771.202637,-3617.356934
001481_1875-ORI_144.tif,-3867.964844,-3822.228027
001481_1875-ORI_144_v_flip.tif,-3867.964844,-3822.228027
001481_1875-ORI_144_h_flip.tif,-3867.964844,-3822.228027
001481_1875-ORI_144_hv_flip.tif,-3867.964844,-3822.228027
001481_1875-ORI_145.tif,-3986.669434,-3798.803223
001481_1875-ORI_145_v_flip.tif,-3986.669434,-3798.803223
001481_1875-ORI_145_h_flip.tif,-3986.669434,-3798.803223
001481_1875-ORI_145_hv_flip.tif,-3986.669434,-3798.803223
001481_1875-ORI_146.tif,-4022.816162,-3806.986572
001481_1875-ORI_146_v_flip.tif,-4022.816162,-3806.986572
001481_1875-ORI_146_h_flip.tif,-4022.816162,-3806.986572
001481_1875-ORI_146_hv_flip.tif,-4022.816162,-3806.986572
001481_1875-ORI_147.tif,-4049.187744,-3932.320801
001481_1875-ORI_147_v_flip.tif,-4049.187744,-3932.320801
001481_1875-ORI_147_h_flip.tif,-4049.187744,-3932.320801
001481_1875-ORI_147_hv_flip.tif,-4049.187744,-3932.320801
001481_1875-ORI_148.tif,-4060.996826,-3997.041748
001481_1875-ORI_148_v_flip.tif,-4060.996826,-3997.041748
001481_1875-ORI_148_h_flip.tif,-4060.996826,-3997.041748
001481_1875-ORI_148_hv_flip.tif,-4060.996826,-3997.041748
001481_1875-ORI_211.tif,-3564.718018,-3321.688232
001481_1875-ORI_211_v_flip.tif,-3564.718018,-3321.688232
001481_1875-ORI_211_h_flip.tif,-3564.718018,-3321.688232
001481_1875-ORI_211_hv_flip.tif,-3564.718018,-3321.688232
001481_1875-ORI_212.tif,-3638.152100,-3330.957520
001481_1875-ORI_212_v_flip.tif,-3638.152100,-3330.957520
001481_1875-ORI_212_h_flip.tif,-3638.152100,-3330.957520
001481_1875-ORI_212_hv_flip.tif,-3638.152100,-3330.957520
001481_1875-ORI_213.tif,-3749.647705,-3607.645020
001481_1875-ORI_213_v_flip.tif,-3749.647705,-3607.645020
001481_1875-ORI_213_h_flip.tif,-3749.647705,-3607.645020
001481_1875-ORI_213_hv_flip.tif,-3749.647705,-3607.645020
001481_1875-ORI_214.tif,-3604.964844,-3431.377441
001481_1875-ORI_214_v_flip.tif,-3604.964844,-3431.377441
001481_1875-ORI_214_h_flip.tif,-3604.964844,-3431.377441
001481_1875-ORI_214_hv_flip.tif,-3604.964844,-3431.377441
001481_1875-ORI_215.tif,-3609.330078,-3522.102539
001481_1875-ORI_215_v_flip.tif,-3609.330078,-3522.102539
001481_1875-ORI_215_h_flip.tif,-3609.330078,-3522.102539
001481_1875-ORI_215_hv_flip.tif,-3609.330078,-3522.102539
001481_1875-ORI_216.tif,-3813.568359,-3703.541992
001481_1875-ORI_216_v_flip.tif,-3813.568359,-3703.541992
001481_1875-ORI_216_h_flip.tif,-3813.568359,-3703.541992
001481_1875-ORI_216_hv_flip.tif,-3813.568359,-3703.541992
001481_1875-ORI_217.tif,-3645.701416,-3582.784668
001481_1875-ORI_217_v_flip.tif,-3645.701416,-3582.784668
001481_1875-ORI_217_h_flip.tif,-3645.701416,-3582.784668
001481_1875-ORI_217_hv_flip.tif,-3645.701416,-3582.784668
001481_1875-ORI_218.tif,-3841.720947,-3669.236328
001481_1875-ORI_218_v_flip.tif,-3841.720947,-3669.236328
001481_1875-ORI_218_h_flip.tif,-3841.720947,-3669.236328
001481_1875-ORI_218_hv_flip.tif,-3841.720947,-3669.236328
001481_1875-ORI_219.tif,-3822.256348,-3744.247314
001481_1875-ORI_219_v_flip.tif,-3822.256348,-3744.247314
001481_1875-ORI_219_h_flip.tif,-3822.256348,-3744.247314
001481_1875-ORI_219_hv_flip.tif,-3822.256348,-3744.247314
001481_1875-ORI_22.tif,-3510.850586,-3311.820312
001481_1875-ORI_22_v_flip.tif,-3510.850586,-3311.820312
001481_1875-ORI_22_h_flip.tif,-3510.850586,-3311.820312
001481_1875-ORI_22_hv_flip.tif,-3510.850586,-3311.820312
001481_1875-ORI_25.tif,-3457.380127,-3428.993408
001481_1875-ORI_25_v_flip.tif,-3457.380127,-3428.993408
001481_1875-ORI_25_h_flip.tif,-3457.380127,-3428.993408
001481_1875-ORI_25_hv_flip.tif,-3457.380127,-3428.993408
001481_1875-ORI_250.tif,-3404.329102,-3334.643311
001481_1875-ORI_250_v_flip.tif,-3404.329102,-3334.643311
001481_1875-ORI_250_h_flip.tif,-3404.329102,-3334.643311
001481_1875-ORI_250_hv_flip.tif,-3404.329102,-3334.643311
001481_1875-ORI_251.tif,-3407.147949,-3324.546631
001481_1875-ORI_251_v_flip.tif,-3407.147949,-3324.546631
001481_1875-ORI_251_h_flip.tif,-3407.147949,-3324.546631
001481_1875-ORI_251_hv_flip.tif,-3407.147949,-3324.546631
001481_1875-ORI_252.tif,-3450.654541,-3373.197510
001481_1875-ORI_252_v_flip.tif,-3450.654541,-3373.197510
001481_1875-ORI_252_h_flip.tif,-3450.654541,-3373.197510
001481_1875-ORI_252_hv_flip.tif,-3450.654541,-3373.197510
001481_1875-ORI_253.tif,-3278.619141,-3225.892090
001481_1875-ORI_253_v_flip.tif,-3278.619141,-3225.892090
001481_1875-ORI_253_h_flip.tif,-3278.619141,-3225.892090
001481_1875-ORI_253_hv_flip.tif,-3278.619141,-3225.892090
001481_1875-ORI_254.tif,-3293.143311,-3171.804932
001481_1875-ORI_254_v_flip.tif,-3293.143311,-3171.804932
001481_1875-ORI_254_h_flip.tif,-3293.143311,-3171.804932
001481_1875-ORI_254_hv_flip.tif,-3293.143311,-3171.804932
001481_1875-ORI_255.tif,-3271.128174,-3140.139404
001481_1875-ORI_255_v_flip.tif,-3271.128174,-3140.139404
001481_1875-ORI_255_h_flip.tif,-3271.128174,-3140.139404
001481_1875-ORI_255_hv_flip.tif,-3271.128174,-3140.139404
001481_1875-ORI_256.tif,-3399.915527,-3276.034668
001481_1875-ORI_256_v_flip.tif,-3399.915527,-3276.034668
001481_1875-ORI_256_h_flip.tif,-3399.915527,-3276.034668
001481_1875-ORI_256_hv_flip.tif,-3399.915527,-3276.034668
001481_1875-ORI_257.tif,-3624.537109,-3496.836670
001481_1875-ORI_257_v_flip.tif,-3624.537109,-3496.836670
001481_1875-ORI_257_h_flip.tif,-3624.537109,-3496.836670
001481_1875-ORI_257_hv_flip.tif,-3624.537109,-3496.836670
001481_1875-ORI_258.tif,-3569.140137,-3195.314453
001481_1875-ORI_258_v_flip.tif,-3569.140137,-3195.314453
001481_1875-ORI_258_h_flip.tif,-3569.140137,-3195.314453
001481_1875-ORI_258_hv_flip.tif,-3569.140137,-3195.314453
001481_1875-ORI_103.tif,-3557.123291,-3270.001709
001481_1875-ORI_103_v_flip.tif,-3557.123291,-3270.001709
001481_1875-ORI_103_h_flip.tif,-3557.123291,-3270.001709
001481_1875-ORI_103_hv_flip.tif,-3557.123291,-3270.001709
001481_1875-ORI_104.tif,-3563.151367,-3333.789795
001481_1875-ORI_104_v_flip.tif,-3563.151367,-3333.789795
001481_1875-ORI_104_h_flip.tif,-3563.151367,-3333.789795
001481_1875-ORI_104_hv_flip.tif,-3563.151367,-3333.789795
001481_1875-ORI_105.tif,-3470.071777,-3405.568359
001481_1875-ORI_105_v_flip.tif,-3470.071777,-3405.568359
001481_1875-ORI_105_h_flip.tif,-3470.071777,-3405.568359
001481_1875-ORI_105_hv_flip.tif,-3470.071777,-3405.568359
001481_1875-ORI_106.tif,-3552.791260,-3322.687988
001481_1875-ORI_106_v_flip.tif,-3552.791260,-3322.687988
001481_1875-ORI_106_h_flip.tif,-3552.791260,-3322.687988
001481_1875-ORI_106_hv_flip.tif,-3552.791260,-3322.687988
001481_1875-ORI_107.tif,-3590.341064,-3277.675293
001481_1875-ORI_107_v_flip.tif,-3590.341064,-3277.675293
001481_1875-ORI_107_h_flip.tif,-3590.341064,-3277.675293
001481_1875-ORI_107_hv_flip.tif,-3590.341064,-3277.675293
001481_1875-ORI_108.tif,-3613.908691,-3452.820068
001481_1875-ORI_108_v_flip.tif,-3613.908691,-3452.820068
001481_1875-ORI_108_h_flip.tif,-3613.908691,-3452.820068
001481_1875-ORI_108_hv_flip.tif,-3613.908691,-3452.820068
001481_1875-ORI_109.tif,-3624.537109,-3495.157227
001481_1875-ORI_109_v_flip.tif,-3624.537109,-3495.157227
001481_1875-ORI_109_h_flip.tif,-3624.537109,-3495.157227
001481_1875-ORI_109_hv_flip.tif,-3624.537109,-3495.157227
001481_1875-ORI_11.tif,-3549.012207,-3456.204102
001481_1875-ORI_11_v_flip.tif,-3549.012207,-3456.204102
001481_1875-ORI_11_h_flip.tif,-3549.012207,-3456.204102
001481_1875-ORI_11_hv_flip.tif,-3549.012207,-3456.204102
001481_1875-ORI_110.tif,-3614.546387,-3491.153809
001481_1875-ORI_110_v_flip.tif,-3614.546387,-3491.153809
001481_1875-ORI_110_h_flip.tif,-3614.546387,-3491.153809
001481_1875-ORI_110_hv_flip.tif,-3614.546387,-3491.153809
001481_1875-ORI_111.tif,-3600.841797,-3404.172119
001481_1875-ORI_111_v_flip.tif,-3600.841797,-3404.172119
001481_1875-ORI_111_h_flip.tif,-3600.841797,-3404.172119
001481_1875-ORI_111_hv_flip.tif,-3600.841797,-3404.172119
001481_1875-ORI_185.tif,-4225.661133,-4092.392578
001481_1875-ORI_185_v_flip.tif,-4225.661133,-4092.392578
001481_1875-ORI_185_h_flip.tif,-4225.661133,-4092.392578
